,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
2087,Lucian Lucia,College of Natural Resources,3.3,2.3,3.72093023255814,42.8571,8,8,129
2088,Phoebe Glazer,College of Sciences,1.0,3.0,2.42,0.0,1,1,24
2089,Brian Space,College of Sciences,3.0,5.0,3.622815533980583,0.0,1,4,103
2090,Lisa Falk,College of Sciences,4.3,1.6,3.4621566265060246,84.8485,33,52,3320
2091,Carrie Thomas,College of Sciences,3.3,2.6,3.1496155753968265,65.2174,25,92,4032
2092,Mahmoud Harding,College of Sciences,5.0,2.0,2.9761926605504585,100.0,1,9,218
2093,Vrinda Desai,College of Engineering,2.0,3.0,3.10448275862069,0.0,1,2,29
2094,Juliette Paul,College of Sciences,3.0,2.0,2.665,0.0,1,2,42
2095,Arvind Saibaba,College of Sciences,4.4,2.6,2.7293567251461988,100.0,5,9,342
2096,Laura Tateosian,College of Sciences,2.0,4.0,2.92,16.6667,12,1,13
2097,Renee Brady,College of Sciences,3.3,3.0,2.4089297658862874,-1.0,2,3,299
2098,Samuel Ivy,College of Sciences,2.8,4.0,2.7165925925925927,-1.0,2,5,135
2099,Austin Jones,College of Sciences,4.5,1.8,3.1020391517128876,-1.0,6,11,613
2100,Stepan Paul,College of Sciences,3.7,3.5,2.8246599894570372,69.2308,65,21,1897
2101,Thomas Lada,College of Sciences,4.3,1.6,2.951157154026583,85.7143,49,76,3837
2102,Dave White,College of Sciences,2.5,3.9,2.710958904109589,25.0,12,4,219
2103,Everett Meike,College of Sciences,3.4,1.4,3.2962844036697247,80.0,5,7,654
2104,Justen Geddes,College of Sciences,4.5,2.3,2.784795539033458,100.0,8,5,538
2105,Erica Swain,College of Sciences,4.8,2.8,2.9437198067632853,100.0,4,8,414
2106,Claire Zajaczkowski,College of Sciences,4.6,2.6,3.163788395904437,85.7143,7,6,293
2107,Evan North,College of Sciences,4.5,4.5,3.2025663716814154,100.0,2,11,452
2108,Daniel Scofield,College of Sciences,4.5,2.6,2.93420523138833,77.7778,10,8,497
2109,Jane Coons,College of Sciences,4.0,3.0,2.5867510548523205,100.0,3,3,237
2110,Emily Meehan,College of Sciences,5.0,1.5,2.726127320954907,-1.0,2,6,377
2111,Carlos Arreche,College of Sciences,4.3,2.0,3.3980188679245287,100.0,3,3,212
2112,Ashley White,College of Education,4.9,2.1,2.632571041948579,100.0,36,7,739
2113,Uduak George,College of Sciences,1.8,3.3,2.9168292682926826,-1.0,6,4,164
2114,Ralph Abbey,College of Sciences,4.3,2.7,3.006929955290611,-1.0,9,8,671
2115,Sean Clemens,College of Sciences,5.0,1.0,3.1106879194630874,-1.0,2,10,596
2116,Kyle Thompson,College of Sciences,3.9,3.2,2.235061482220007,-1.0,41,53,3009
2117,Evan Wilson,College of Sciences,3.0,3.0,3.267333333333333,-1.0,1,4,90
2118,Jonathan Dunbar,College of Sciences,4.5,3.0,2.5768722466960354,-1.0,8,12,454
2119,Robert Shih,College of Sciences,2.9,2.0,3.0610204081632655,-1.0,4,6,343
2120,Prakash Bhave,College of Sciences,1.0,3.0,2.46388384754991,0.0,1,32,551
2121,Sean Thompson,College of Sciences,3.5,3.3,2.552068965517241,75.0,8,5,406
2122,Ezra Nance,College of Sciences,2.6,3.6,2.293154121863799,33.3333,30,9,558
2123,Lynesia Taylor,College of Sciences,2.7,3.3,2.71536312849162,0.0,3,8,358
2124,Marwen Zrida,College of Sciences,1.0,3.0,2.9976041666666666,0.0,2,3,192
2125,Benjamin Freedman,College of Sciences,4.5,2.7,2.885943562610229,88.8889,9,9,567
2126,Emma Groves,College of Sciences,4.6,2.8,2.951143216080402,100.0,9,15,796
2127,Katharine Ahrens,College of Sciences,5.0,1.8,2.9276165803108807,100.0,4,3,193
2128,Naomi Boulware,College of Sciences,2.0,3.8,2.431360381861575,50.0,8,6,419
2129,Matthew McDaniel,College of Sciences,2.3,3.5,2.799189189189189,33.3333,6,2,222
2130,Melissa Ngamini,College of Sciences,1.6,4.4,2.6306976744186046,50.0,9,3,172
2131,Jeff Scroggs,College of Sciences,1.6,3.2,2.9074160583941606,33.3333,19,14,685
2132,Katherine Varga,College of Sciences,4.5,3.0,3.029553752535497,-1.0,3,4,493
2133,Shira Viel,College of Sciences,4.7,2.7,2.819168241965973,100.0,3,10,529
2134,Tao Pang,College of Sciences,2.4,3.9,2.385514511873351,66.6667,7,17,379
2135,Marilyn McCollum,College of Sciences,3.5,3.3,1.939432624113475,100.0,19,12,282
2136,Nicole Panza,College of Sciences,3.4,2.5,2.800953846153846,-1.0,8,10,650
2137,Emma Norbrothen,College of Sciences,4.9,1.8,3.0179014308426075,-1.0,4,7,629
2138,Daniela Valdez-Jasso,College of Sciences,3.0,1.0,2.650177514792899,-1.0,1,4,169
2139,Stephen Adams,College of Sciences,4.2,2.3,2.4960080645161287,-1.0,10,13,744
2140,Patty Clemons,College of Sciences,4.6,2.1,2.7025,87.5,16,8,864
2141,Ian Livengood,College of Sciences,4.7,1.3,2.893646408839779,100.0,3,3,181
2142,Faye Simon,College of Sciences,3.6,3.4,2.7540881542699727,65.2174,46,25,1815
2143,Jennifer  Buettner,College of Sciences,1.6,4.4,2.3185955056179774,20.0,10,5,178
2144,James Kolesar,College of Sciences,5.0,2.5,2.703482142857143,100.0,4,3,112
2145,Kristen Windoloski,College of Sciences,2.7,3.4,2.2867336683417085,42.8571,21,8,995
2146,Sarah Strikwerda,College of Sciences,2.8,3.6,2.8402374670184694,55.5556,9,5,379
2147,Kamala Dadashova,College of Sciences,2.0,3.6,2.50030487804878,12.5,16,4,328
2148,Jessica Stevens,College of Sciences,2.9,3.4,2.8412240184757507,47.619,21,5,433
2149,Hassan Hatam,College of Sciences,4.0,3.8,2.67390977443609,100.0,4,9,399
2150,Rachel Abel,College of Sciences,3.7,3.3,2.863631284916201,60.0,10,4,179
2151,Michael Breen-McKay,College of Sciences,4.0,2.5,2.8365384615384617,75.0,4,4,260
2152,Lauren Musa,College of Sciences,4.0,3.5,3.053766233766234,100.0,2,2,154
2153,Anthony Powell,College of Sciences,4.5,1.5,2.9489530685920577,100.0,2,2,277
2154,Robert DeYeso,College of Sciences,3.0,3.4,2.539845360824742,36.3636,11,6,388
2155,Brenda Burns,College of Sciences,2.8,3.3,2.6038369002657733,65.7895,96,175,7149
2156,Molly Lynch,College of Sciences,4.0,3.3,2.4336476426799005,100.0,4,4,403
2157,Anila Yadavalli,College of Sciences,4.8,2.0,2.725159817351598,100.0,4,9,657
2158,Mallory McMahon,College of Sciences,4.5,3.3,2.7749251247920133,100.0,10,5,601
2159,Elizabeth Dempster,College of Sciences,4.4,2.6,2.766466685622217,92.7273,181,107,10551
2160,Kristen Boyle,College of Sciences,4.6,3.2,2.7911915887850465,100.0,14,5,428
2161,Jessica Wagstaff,College of Sciences,3.6,2.5,2.6567084639498435,-1.0,6,9,638
2162,Daisy Sudparid,College of Sciences,4.8,1.7,2.890153846153846,-1.0,6,4,325
2163,Elisabeth Brown,College of Sciences,5.0,3.2,3.1101764234161986,100.0,41,31,1247
2164,Jing Xi,College of Sciences,1.0,4.5,2.343046875,-1.0,2,6,256
2165,Steven Derochers,College of Sciences,3.1,3.4,2.5817164179104477,50.0,9,11,536
2166,William Wheeless,College of Sciences,1.5,4.0,2.512826603325416,-1.0,1,6,421
2167,Melissa Tolley,College of Sciences,3.1,2.8,2.9519923857868022,-1.0,4,6,788
2168,Jason Elsinger,College of Sciences,2.7,3.1,2.4467036011080334,-1.0,10,7,722
2169,Ryan Therkelsen,College of Sciences,3.5,3.5,2.263694779116466,-1.0,6,4,249
2170,Robert Watson,College of Sciences,4.5,3.0,2.5717050691244236,-1.0,2,6,217
2171,Ronald Fulp,College of Sciences,2.7,3.3,2.908566599053413,37.037,27,65,1479
2172,Laura Brestensky,College of Sciences,5.0,2.5,2.9389777777777777,100.0,2,3,225
2173,Prerona Dutta,College of Sciences,4.5,3.2,2.981808510638298,83.3333,6,4,282
2174,Rossana Capuani,College of Sciences,4.0,2.7,2.8997297297297298,50.0,4,2,111
2175,Elyse Rogers,College of Sciences,5.0,2.0,2.7844032921810697,100.0,1,6,243
2176,Hailey Owen,College of Sciences,2.5,2.0,3.19,-1.0,1,1,37
2177,Bethany Turner,College of Sciences,4.0,3.3,3.1401846153846154,100.0,3,11,650
2178,Kathryn Brenneman,College of Sciences,1.6,3.8,2.8539700374531836,-1.0,14,5,534
2179,Harvey Charlton,College of Sciences,3.5,3.3,2.288347826086956,100.0,4,3,115
2180,Kylan Schatz,College of Sciences,2.0,3.9,2.360693069306931,25.0,28,7,404
2181,Molly Fenn,College of Sciences,4.9,2.2,2.9968340051300855,96.4286,82,92,5458
2182,Rachel Morris,College of Sciences,4.5,3.0,2.3216783216783217,100.0,2,4,143
2183,Evangelia Ftaka,College of Sciences,1.0,5.0,1.94396449704142,0.0,2,3,169
2184,Brittany Riggs,College of Sciences,3.8,3.0,2.700512,71.4286,7,8,625
2185,Lindsey Farris,College of Sciences,5.0,5.0,3.3144890510948906,100.0,1,5,274
2186,Suchada Pongprasert,College of Sciences,5.0,2.7,2.698723897911833,100.0,3,6,431
2187,Samantha Kirk,College of Sciences,4.4,2.5,3.003246124031008,91.6667,18,18,1032
2188,Levi  Biock ,College of Sciences,1.6,3.9,2.4572340425531918,0.0,9,3,141
2189,Shana Lieberman,College of Sciences,3.6,2.6,3.1454681139755762,-1.0,7,12,737
2190,Nathaniel Schwartz,College of Sciences,2.7,3.3,2.426903669724771,-1.0,3,8,436
2191,Terrance Pendleton,College of Sciences,4.9,1.5,3.1569907407407407,-1.0,8,4,216
2192,Jack Reever,College of Sciences,4.9,1.9,3.532,100.0,7,3,450
2193,Patrick Martin,College of Sciences,1.5,2.3,2.776842105263158,0.0,4,3,152
2194,Luke Castle,College of Sciences,4.4,2.7,3.046448648648649,86.1111,36,30,3700
2195,Ian Bunner,College of Sciences,2.7,3.2,2.8340182648401826,36.3636,11,2,219
2196,Thomas elgin,College of Sciences,3.0,3.0,2.77,100.0,1,1,71
2197,Andrew Shedlock,College of Sciences,5.0,1.5,2.93,100.0,2,1,199
2198,Spencer Daugherty,College of Sciences,3.8,3.0,2.988943298969072,75.0,8,4,388
2199,Eric Schoen,College of Sciences,5.0,1.0,2.8727272727272726,100.0,1,2,154
2200,Elisabeth Congdon,College of Sciences,4.1,3.3,2.663810264385692,80.0,10,6,643
2201,Isaac Sunseri,College of Sciences,4.0,3.0,3.0497452229299364,100.0,1,3,157
2202,Toryn Avery,College of Sciences,4.9,2.7,2.7297379912663757,100.0,7,3,229
2203,Johnny Gillings,College of Sciences,1.5,4.2,2.575311475409836,6.25,16,4,305
2204,Steven Gilmore,College of Sciences,3.0,4.0,3.0065258215962443,0.0,1,5,426
2205,Eric Hallman,College of Sciences,2.9,3.8,2.830361111111111,41.6667,12,6,360
2206,Hayley Guy,College of Sciences,3.0,3.0,3.192887029288703,100.0,1,4,478
2207,Andrew Cooper,College of Sciences,2.4,4.4,2.476929133858268,56.0,70,28,1143
2208,Eric Geiger,College of Sciences,4.0,3.0,3.126769596199525,50.0,2,6,421
2209,Daniel Godfrey,College of Sciences,3.7,2.3,2.9330031948881787,83.3333,6,4,313
2210,Radmila Sazdanovic,College of Sciences,3.3,3.8,3.0055342465753423,75.0,4,11,365
2211,John Griggs,College of Sciences,4.1,3.1,2.5788898260411197,80.597,74,136,9485
2212,Ryan Vogt,College of Sciences,4.9,2.3,3.5243672456575688,97.9592,49,5,403
2213,Lavon Page,College of Sciences,2.6,2.8,2.448214953271028,0.0,9,20,1070
2214,Cagatay Karan,College of Sciences,4.5,1.0,3.5108547008547006,50.0,2,2,468
2215,Suzanne Crifo,College of Sciences,4.1,2.9,2.652173913043478,92.3077,14,6,483
2216,Emily Barnard,College of Sciences,2.3,3.4,3.032389853137517,100.0,20,6,749
2217,Timothee Bryan,College of Sciences,4.0,3.5,2.6099345794392526,75.0,24,16,1070
2218,Mark Hunnell,College of Sciences,4.7,2.4,3.1312484076433122,100.0,10,11,785
2219,Nicolette Meshkat,College of Sciences,4.9,2.6,2.767826086956522,-1.0,5,6,483
2220,Stephen Schecter,College of Sciences,2.1,2.6,2.950923076923077,-1.0,10,19,1300
2221,Amassa Fauntleroy,College of Sciences,1.6,3.9,2.7390899795501022,-1.0,40,16,978
2222,Rohit Sivaprasad,College of Sciences,3.7,2.7,2.559375,-1.0,3,2,32
2223,Bevin Maultsby,College of Sciences,3.8,3.7,2.6027798810167657,71.7391,46,45,1849
2224,Mohammad Farazmand,College of Sciences,5.0,2.0,3.154596774193548,100.0,1,4,124
2225,Franz Hamilton,College of Sciences,4.1,3.2,2.6386834733893556,77.7778,9,9,357
2226,Robert White,College of Sciences,2.5,1.3,3.360432692307692,-1.0,3,15,624
2227,Maitreyee Kulkarni,College of Sciences,2.4,3.9,2.263756906077348,34.2857,35,5,724
2228,Thuy Le,College of Sciences,4.3,1.8,3.1136288659793814,100.0,12,2,485
2229,Andrew Murdza,College of Sciences,4.7,1.9,3.758301886792453,96.2963,27,3,689
2230,Benjamin Daniel,College of Sciences,3.5,3.2,2.5376562500000004,65.2174,23,7,320
2231,Walker Powell,College of Sciences,3.0,3.0,2.7838170347003155,42.8571,7,2,317
2232,Michelle Bartolo,College of Sciences,4.9,2.6,2.616354378818737,100.0,14,4,491
2233,Catie Acitelli,College of Sciences,4.9,2.9,2.9690401785714284,100.0,30,11,896
2234,Jai Aslam,College of Sciences,4.0,2.0,2.8860377358490568,100.0,1,2,53
2235,Rachel Minster,College of Sciences,5.0,3.2,3.042262931034483,100.0,13,5,464
2236,Yerkin Kitapbayev,College of Sciences,2.0,3.9,2.29,36.3636,11,1,224
2237,Jesus Rodriguez,College of Sciences,1.9,3.9,2.192589977613225,15.4255,252,71,5807
2238,Christian Smith,College of Sciences,3.0,3.5,2.5445959595959597,0.0,2,4,198
2239,Katherine Harris,College of Sciences,3.7,3.0,2.342784090909091,85.7143,7,5,528
2240,Kristin Bugg,College of Sciences,4.5,2.5,3.0432272727272727,100.0,8,8,440
2241,Glenn Sidle,College of Sciences,3.2,2.9,2.655291750503018,50.0,17,4,497
2242,Carl Giuffre,College of Sciences,5.0,2.0,2.5370270270270265,-1.0,4,6,370
2243,Brittany Hansen,College of Sciences,2.4,3.0,2.6178571428571424,0.0,8,7,322
2244,Joshua Bostwick,College of Sciences,1.8,5.0,2.6756521739130434,-1.0,3,2,138
2245,Alyssa Armstrong,College of Sciences,4.8,2.3,2.673710021321962,-1.0,3,8,469
2246,Christina Erbacher,College of Sciences,4.1,2.3,3.147748851454824,-1.0,7,4,653
2247,Kristen Abernathy,College of Sciences,4.8,2.2,3.085558194774347,-1.0,5,8,421
2248,Kevin Flores,College of Sciences,4.8,2.5,3.305606741573034,100.0,38,8,890
2249,Mette Olufsen,College of Sciences,3.4,2.9,3.3145382165605097,64.2857,14,28,628
2250,Amrit Dhillon,College of Sciences,5.0,1.5,3.22,100.0,2,1,100
2251,Benjamin Hollering,College of Sciences,4.6,2.6,2.8237536656891495,92.3077,13,5,341
2252,Jo-Ann Cohen,College of Sciences,4.3,3.1,2.989828850855746,80.9524,21,17,409
2253,Daihyun Kwon,College of Sciences,1.5,4.0,2.63,0.0,2,1,175
2254,Megan Chambers,College of Sciences,4.2,3.4,2.918622848200313,80.0,5,11,639
2255,John Nardini,College of Sciences,4.4,3.3,3.129090909090909,87.5,8,4,330
2256,Atanaska Dobreva,College of Sciences,4.0,2.4,2.940272727272727,62.5,8,4,440
2257,Brandon Hollingsworth,College of Sciences,3.3,3.0,2.7596261682242993,66.6667,3,2,214
2258,Dylan Bates,College of Sciences,4.8,2.4,3.4187647058823534,100.0,5,4,340
2259,Jordan Almeter,College of Sciences,3.4,2.8,2.63,60.0,5,1,19
2260,Andrea Arnold,College of Sciences,4.4,2.5,3.3396933333333334,88.8889,11,7,750
2261,Michael Ruddy,College of Sciences,4.5,2.5,3.05772602739726,100.0,4,6,365
2262,Jason Scott,College of Sciences,3.3,4.0,2.608082901554404,-1.0,3,2,193
2263,Dominic Pafundi,College of Sciences,2.3,3.5,2.893651685393258,-1.0,2,4,178
2264,Kailash Misra,College of Sciences,3.9,2.3,2.8834065934065936,100.0,10,25,546
2265,William Kranec,College of Sciences,4.0,3.0,2.6514356787491113,0.0,28,16,1407
2266,Arkady Kheyfets,College of Sciences,3.9,1.4,3.6171299230421,90.9091,37,40,2209
2267,Allison McAlister,College of Sciences,4.7,3.0,2.774097859327217,-1.0,3,9,327
2268,Christina Hamlet,College of Sciences,2.7,3.7,1.9652830188679244,-1.0,7,2,106
2269,Sarah King,College of Sciences,1.5,3.5,2.45,-1.0,2,1,146
2270,Alun Lloyd,College of Sciences,2.9,3.5,3.4257471264367814,66.6667,6,9,174
2271,Alina Duca,College of Sciences,3.6,3.8,2.7780930232558125,78.2609,45,80,3010
2272,Catherine Buell,College of Sciences,4.8,1.8,2.20969696969697,-1.0,4,6,231
2273,Rebecca Jayne,College of Sciences,5.0,2.3,2.494980079681275,-1.0,3,6,251
2274,Safa Janajra,College of Sciences,3.8,3.5,2.8044155844155845,75.0,4,3,77
2275,Grace Stadnyk,College of Sciences,2.7,3.5,2.819293233082707,37.5,18,10,665
2276,McKay Sullivan,College of Sciences,4.5,3.0,3.214781181619256,100.0,14,13,914
2277,Sharon Lubkin,College of Sciences,3.2,3.7,3.0324028268551237,50.0,9,17,566
2278,James Stapleton,College of Sciences,4.0,3.0,3.295352422907489,-1.0,1,14,454
2279,Arnel Smith,College of Sciences,3.7,3.0,3.29,66.6667,3,1,17
2280,Arsen Iskhakov,College of Sciences,4.5,2.9,2.816206896551724,100.0,13,3,232
2281,Qiwei Feng,College of Sciences,5.0,1.0,2.900731707317073,100.0,1,2,123
2282,Jacob Matherne,College of Sciences,4.7,3.7,2.98,83.3333,6,1,85
2283,Michael Medvinsky,College of Sciences,1.7,3.6,2.9824625748502993,18.2927,82,44,2672
2284,Naihuan Jing,College of Sciences,1.7,4.6,2.500350122850123,12.5,9,38,1628
2285,Kevin Joy,College of Sciences,4.3,2.0,2.83,100.0,4,1,71
2286,John Graf,College of Sciences,3.8,2.6,2.191152263374486,62.5,8,5,243
2287,Blake Burgstahler,College of Sciences,3.5,4.0,2.95,50.0,2,1,92
2288,Jianping Pan,College of Sciences,2.7,3.5,2.547124735729387,25.0,32,7,473
2289,Boya Liu,College of Sciences,2.1,4.3,2.2956304347826086,26.6667,15,6,460
2290,Ilse Ipsen,College of Sciences,2.4,3.8,2.7739162112932605,23.8095,30,9,549
2291,Michael Redle,College of Sciences,3.2,3.6,2.4878489702517164,70.0,10,7,437
2292,Ella Pavlechko,College of Sciences,4.6,3.5,2.698085539714868,90.0,10,5,491
2293,Farid Benmouffok,College of Sciences,3.0,3.5,2.82,25.0,4,1,76
2294,Gary Lavigne,College of Sciences,4.6,3.3,2.946521739130435,93.3333,15,5,322
2295,Sarah Spencer,College of Sciences,5.0,2.5,2.862156862745098,100.0,2,2,102
2296,Arial Nikas,College of Sciences,4.4,2.9,2.464143968871596,93.75,16,9,514
2297,Chetak Hossain,College of Sciences,2.5,3.5,3.042310606060606,37.5,8,5,264
2298,Tong Wu,College of Sciences,2.7,4.1,2.40164113785558,43.75,16,6,457
2299,Alex Chandler,College of Sciences,3.5,2.8,2.8592475728155344,100.0,13,8,412
2300,Ricardo Wehrhahn,College of Sciences,5.0,4.0,2.401315789473684,100.0,1,3,152
2301,Colby Long,College of Sciences,3.8,3.2,2.683037974683544,100.0,6,5,237
2302,Karlan Wolfkill,College of Sciences,3.3,3.0,2.6,-1.0,5,1,78
2303,Alexander Combs,College of Sciences,3.5,3.4,2.5910543130990416,-1.0,16,13,626
2304,Salvatore Stella,College of Sciences,2.3,3.9,2.532680965147453,100.0,11,5,373
2305,Kidist Zeleke,College of Sciences,1.5,4.0,2.432584269662921,0.0,2,2,178
2306,Brandon Bock,College of Sciences,2.4,4.0,2.3815625,-1.0,4,5,160
2307,Aaron Herman,College of Sciences,2.5,3.5,2.763003300330033,-1.0,2,5,303
2308,Lake Bookman,College of Sciences,3.0,3.0,2.2598360655737704,-1.0,1,2,61
2309,Erica Graham,College of Sciences,3.9,3.0,2.444071856287425,-1.0,4,4,167
2310,Noah Daleo,College of Sciences,3.8,2.5,2.613089005235602,-1.0,2,4,191
2311,Leslie Kurtz,College of Sciences,4.7,3.0,2.757759538095777,89.8551,200,116,8833
2312,Michael Davidoff,College of Sciences,3.5,2.3,2.77177358490566,-1.0,10,6,265
2313,Frederick Semazzi,College of Sciences,3.8,2.4,2.959518072289157,-1.0,5,3,249
2314,Eric Bancroft,College of Sciences,3.7,3.0,2.5181515151515157,-1.0,3,7,330
2315,Erin Bancroft,College of Sciences,4.1,2.5,2.5037529691211406,-1.0,4,8,421
2316,Douglas Marks,College of Sciences,2.3,3.3,2.38160621761658,-1.0,7,4,193
2317,Lindsey Bosko,College of Sciences,5.0,3.0,2.492215909090909,-1.0,2,4,176
2318,Michael Allocca,College of Sciences,4.1,3.4,2.649569892473118,-1.0,7,4,186
2319,Josh Nador,College of Sciences,5.0,1.0,3.6894897959183672,100.0,1,9,196
2320,Courtney NeSmith,College of Sciences,4.0,2.5,3.8072592592592596,100.0,2,7,135
2321,Bojko Bakalov,College of Sciences,4.3,3.1,2.986939799331104,100.0,12,21,598
2322,Alen Alexanderian,College of Sciences,4.5,3.4,2.6396249999999997,100.0,7,8,400
2323,Peter McGrath,College of Sciences,1.7,4.8,1.9773939393939393,15.3846,13,4,165
2324,Tye Lidman,College of Sciences,4.0,3.3,2.8793564356435644,66.6667,3,6,202
2325,Ashley Tharp,College of Sciences,5.0,2.4,3.251666666666667,100.0,5,4,102
2326,Michael Shearer,College of Sciences,4.8,2.7,3.0366666666666666,100.0,3,18,381
2327,Sandra Paur,College of Sciences,4.3,4.8,2.4680801335559264,100.0,12,30,599
2328,Richard Chandler,College of Sciences,5.0,1.0,3.171450777202072,-1.0,1,10,193
2329,John Franke,College of Sciences,3.3,4.0,2.5414046822742473,-1.0,6,17,299
2330,Karen Bliss,College of Sciences,5.0,2.0,2.85,-1.0,1,1,20
2331,Harley Hanes,College of Sciences,4.3,1.8,2.98,75.0,4,1,93
2332,Hien Tran,College of Sciences,3.0,3.6,2.847821552723059,35.2941,18,12,863
2333,Amanda Colunga,College of Sciences,4.3,3.0,2.8249302325581396,66.6667,3,4,215
2334,Jessica Notestine,College of Sciences,5.0,3.0,2.833349056603774,100.0,3,8,424
2335,Mohan Putcha,College of Sciences,2.5,1.8,2.9371800433839486,-1.0,20,13,461
2336,Robert Benim,College of Sciences,3.8,2.0,2.6331292517006806,-1.0,3,6,441
2337,Ashley Pritchard,College of Sciences,3.5,3.5,2.42,50.0,2,1,98
2338,Nikki Xu,College of Sciences,3.9,2.9,2.8640384615384615,72.7273,11,6,364
2339,Jacobo Schino,College of Sciences,2.5,2.0,2.4728245614035087,50.0,2,5,570
2340,Jack Silverstein,College of Sciences,2.0,3.6,2.4631215250198566,20.0,28,33,1259
2341,Patrick Sprenger,College of Sciences,4.5,3.2,3.0532075471698112,81.8182,11,2,159
2342,Tyler Knapp,College of Sciences,4.8,2.2,3.5910650887573965,100.0,5,2,169
2343,Maureiq Ojwang',College of Sciences,2.2,4.5,2.6385959885386816,30.0,10,4,349
2344,John Darges,College of Sciences,5.0,2.0,3.3,100.0,1,1,20
2345,Ju Wang,College of Sciences,2.3,4.3,2.5870588235294116,25.0,4,4,153
2346,Katherine Pearce,College of Sciences,4.6,3.8,2.9784415584415584,100.0,12,3,231
2347,Pedro Sanchez,College of Sciences,3.7,2.7,3.3152833638025596,66.6667,15,7,547
2348,Owen Coss,College of Sciences,4.7,3.1,3.0590200445434297,100.0,13,6,449
2349,Victor Summers,College of Sciences,3.5,4.0,2.943380681818182,57.1429,7,6,352
2350,Erdal Imamoglu,College of Sciences,5.0,2.0,2.7721212121212124,100.0,1,2,66
2351,Kristen Moody,College of Sciences,4.7,3.0,2.785284974093264,100.0,6,4,193
2352,Sarah Vallelian,College of Sciences,2.5,4.5,2.562432432432432,50.0,2,2,148
2353,Michael Weselcouch,College of Sciences,4.6,3.1,2.7547214854111406,100.0,9,7,377
2354,Justin Webster,College of Sciences,4.4,3.6,2.69902027027027,-1.0,8,3,296
2355,Kristen Tillman,College of Sciences,4.5,2.0,3.0886567164179106,100.0,2,2,134
2356,James Rohal,College of Sciences,3.7,3.5,2.8236888888888885,-1.0,6,7,450
2357,Xiao-Biao Lin,College of Sciences,2.9,2.0,2.96671721677074,80.0,17,39,1121
2358,Garret Johnson,College of Sciences,1.8,3.8,2.5561475409836065,0.0,6,4,122
2359,Dmitry Zenkov,College of Sciences,2.5,3.9,2.1304351939451274,24.6575,94,32,2114
2360,Kai Fan,College of Sciences,4.1,1.8,2.7607594936708857,-1.0,5,5,237
2361,Irina Kogan,College of Sciences,2.4,3.5,2.7907572209211553,33.3333,34,24,1281
2362,Larry Norris,College of Sciences,3.8,3.3,2.835226198514518,80.9524,37,92,2962
2363,Rebecca Kalhorn,College of Sciences,4.4,4.8,2.17,-1.0,4,1,35
2364,Louis Levy,College of Sciences,4.8,2.1,2.27,-1.0,9,1,81
2365,John Skeen,College of Sciences,4.3,1.9,3.4446478873239434,100.0,8,2,142
2366,Hoon Hong,College of Sciences,3.9,3.0,2.8519516786946966,69.5652,55,60,3187
2367,Souradip Chattopadhyay,College of Sciences,4.0,3.1,2.558362068965517,85.7143,42,5,464
2368,Fatma Terzioglu,College of Sciences,2.9,3.3,2.598181818181818,60.0,10,2,121
2369,Eric Hanson,College of Sciences,4.5,2.0,3.1187912087912086,100.0,4,2,182
2370,Reeshad Arian,College of Sciences,4.0,3.1,2.4,72.7273,11,1,45
2371,Kazufumi Ito,College of Sciences,1.8,3.2,2.6810444874274664,17.3913,29,15,517
2372,Mansoor Haider,College of Sciences,4.8,3.1,3.0413408521303262,100.0,11,21,798
2373,Andrew Manion,College of Sciences,4.9,2.8,2.92,100.0,17,1,89
2374,Dana Droz,College of Sciences,4.7,3.3,2.8226530612244902,85.7143,7,3,245
2375,Benjamin Randall,College of Sciences,2.2,5.0,2.31,0.0,5,1,51
2376,Moody Chu,College of Sciences,4.2,3.9,2.8338940092165896,100.0,29,27,868
2377,Daniel Bernstein,College of Sciences,4.2,3.0,2.864513888888889,60.0,5,4,288
2378,Curtis Porter,College of Sciences,1.5,5.0,2.47,0.0,2,1,90
2379,James Selgrade,College of Sciences,2.2,3.6,2.3544715447154467,0.0,11,12,369
2380,Chirag Lakhani,College of Sciences,2.8,2.8,2.821764705882353,0.0,8,2,68
2381,Semyon Tsynkov,College of Sciences,2.4,3.1,3.062634989200864,50.0,8,11,463
2382,Hangjie Ji,College of Sciences,5.0,4.0,2.7961818181818185,100.0,1,2,55
2383,Zhilin Li,College of Sciences,2.5,3.0,2.834342948717949,43.75,19,18,624
2384,Zane Li,College of Sciences,3.8,3.5,2.69,87.5,8,1,95
2385,Mitchel Colebank,College of Sciences,5.0,3.0,3.34,100.0,1,1,83
2386,Stephen Campbell,College of Sciences,1.8,2.7,2.303336414048059,12.5,11,8,1082
2387,Rebecca Everett,College of Sciences,4.0,3.0,2.79,100.0,2,1,120
2388,Ruian Ke,College of Sciences,2.5,3.0,3.273050847457627,50.0,2,2,59
2389,Alina Chertock,College of Sciences,1.8,3.8,2.3477464788732396,-1.0,5,4,142
2390,Erich Kaltofen,College of Sciences,3.0,3.9,2.815896076352068,50.0,10,30,943
2391,Seth Sullivant,College of Sciences,4.3,2.3,3.1835517241379305,66.6667,3,12,290
2392,Pierre Gremaud,College of Sciences,4.2,2.5,2.920436681222707,-1.0,6,9,229
2393,Corey Jones,College of Sciences,4.0,4.0,3.1906382978723404,100.0,1,2,47
